Time (s);Fᵧ (N)
3.6400000000;-0.5174204860
3.6500000000;-0.5174204860
3.6600000000;-0.5174204860
3.6700000000;-0.5352500881
3.6800000000;-0.5174204860
3.6900000000;-0.5174204860
3.7000000000;-0.5174204860
3.7100000000;-0.4995908838
3.7200000000;-0.4995908838
3.7300000000;-0.5174204860
3.7400000000;-0.5174204860
3.7500000000;-0.5352500881
3.7600000000;-0.5174204860
3.7700000000;-0.5174204860
3.7800000000;-0.5174204860
3.7900000000;-0.4995908838
3.8000000000;-0.4995908838
3.8100000000;-0.4995908838
3.8200000000;-0.4995908838
3.8300000000;-0.4817612816
3.8400000000;-0.4995908838
3.8500000000;-0.4995908838
3.8600000000;-0.4995908838
3.8700000000;-0.5174204860
3.8800000000;-0.4995908838
3.8900000000;-0.4995908838
3.9000000000;-0.4995908838
3.9100000000;-0.4995908838
3.9200000000;-0.4817612816
3.9300000000;-0.4995908838
3.9400000000;-0.4995908838
3.9500000000;-0.4995908838
3.9600000000;-0.4995908838
3.9700000000;-0.5174204860
3.9800000000;-0.4995908838
3.9900000000;-0.4995908838
4.0000000000;-0.4995908838
4.0100000000;-0.4995908838
4.0200000000;-0.4995908838
4.0300000000;-0.5174204860
4.0400000000;-0.5174204860
4.0500000000;-0.4995908838
4.0600000000;-0.5174204860
4.0700000000;-0.4995908838
4.0800000000;-0.5174204860
4.0900000000;-0.5174204860
4.1000000000;-0.5174204860
4.1100000000;-0.5174204860
4.1200000000;-0.5174204860
4.1300000000;-0.4995908838
4.1400000000;-0.4995908838
4.1500000000;-0.4995908838
4.1600000000;-0.5174204860
4.1700000000;-0.5174204860
4.1800000000;-0.5174204860
4.1900000000;-0.5174204860
4.2000000000;-0.4995908838
4.2100000000;-0.4995908838
4.2200000000;-0.4995908838
4.2300000000;-0.4995908838
4.2400000000;-0.4995908838
4.2500000000;-0.4995908838
4.2600000000;-0.4995908838
4.2700000000;-0.4817612816
4.2800000000;-0.4995908838
4.2900000000;-0.4995908838
4.3000000000;-0.4995908838
4.3100000000;-0.4995908838
4.3200000000;-0.4995908838
4.3300000000;-0.5174204860
4.3400000000;-0.4995908838
4.3500000000;-0.4995908838
4.3600000000;-0.4995908838
4.3700000000;-0.5174204860
4.3800000000;-0.5174204860
4.3900000000;-0.4995908838
4.4000000000;-0.4995908838
4.4100000000;-0.5174204860
4.4200000000;-0.5174204860
4.4300000000;-0.4995908838
4.4400000000;-0.4995908838
4.4500000000;-0.4995908838
4.4600000000;-0.4995908838
4.4700000000;-0.4995908838
4.4800000000;-0.4995908838
4.4900000000;-0.4995908838
4.5000000000;-0.4995908838
4.5100000000;-0.4995908838
4.5200000000;-0.5174204860
4.5300000000;-0.5174204860
4.5400000000;-0.4995908838
4.5500000000;-0.5174204860
4.5600000000;-0.4995908838
4.5700000000;-0.5174204860
4.5800000000;-0.5174204860
4.5900000000;-0.5174204860
4.6000000000;-0.5174204860
4.6100000000;-0.4995908838
4.6200000000;-0.4995908838
4.6300000000;-0.4995908838
4.6400000000;-0.5174204860
4.6500000000;-0.4995908838
4.6600000000;-0.5174204860
4.6700000000;-0.4995908838
4.6800000000;-0.4995908838
4.6900000000;-0.4995908838
4.7000000000;-0.4995908838
4.7100000000;-0.4817612816
4.7200000000;-0.4995908838
4.7300000000;-0.4995908838
4.7400000000;-0.5174204860
4.7500000000;-0.4995908838
4.7600000000;-0.4995908838
4.7700000000;-0.4995908838
4.7800000000;-0.4995908838
4.7900000000;-0.4995908838
4.8000000000;-0.4995908838
4.8100000000;-0.5174204860
4.8200000000;-0.5174204860
4.8300000000;-0.5174204860
4.8400000000;-0.5174204860
4.8500000000;-0.5174204860
4.8600000000;-0.5174204860
4.8700000000;-0.4995908838
4.8800000000;-0.5174204860
4.8900000000;-0.5174204860
4.9000000000;-0.4995908838
4.9100000000;-0.5174204860
4.9200000000;-0.5174204860
4.9300000000;-0.5174204860
4.9400000000;-0.5174204860
4.9500000000;-0.4995908838
4.9600000000;-0.5174204860
4.9700000000;-0.5174204860
4.9800000000;-0.5174204860
4.9900000000;-0.4995908838
5.0000000000;-0.5174204860
5.0100000000;-0.4995908838
5.0200000000;-0.4995908838
5.0300000000;-0.4995908838
5.0400000000;-0.5174204860
5.0500000000;-0.4995908838
5.0600000000;-0.4995908838
5.0700000000;-0.4817612816
5.0800000000;-0.4817612816
5.0900000000;-0.4995908838
5.1000000000;-0.4995908838
5.1100000000;-0.4995908838
5.1200000000;-0.4995908838
5.1300000000;-0.4995908838
5.1400000000;-0.4995908838
5.1500000000;-0.4995908838
5.1600000000;-0.4817612816
5.1700000000;-0.4817612816
5.1800000000;-0.4995908838
5.1900000000;-0.4817612816
5.2000000000;-0.4995908838
5.2100000000;-0.4995908838
5.2200000000;-0.4995908838
5.2300000000;-0.4995908838
5.2400000000;-0.5174204860
5.2500000000;-0.4995908838
5.2600000000;-0.5174204860
5.2700000000;-0.4995908838
5.2800000000;-0.4995908838
5.2900000000;-0.5174204860
5.3000000000;-0.5174204860
5.3100000000;-0.5174204860
5.3200000000;-0.4995908838
5.3300000000;-0.4995908838
5.3400000000;-0.5174204860
5.3500000000;-0.5174204860
5.3600000000;-0.5174204860
5.3700000000;-0.5174204860
5.3800000000;-0.4995908838
5.3900000000;-0.4995908838
5.4000000000;-0.5174204860
5.4100000000;-0.5174204860
5.4200000000;-0.5174204860
5.4300000000;-0.4995908838
5.4400000000;-0.4995908838
5.4500000000;-0.4995908838
5.4600000000;-0.4995908838
5.4700000000;-0.4995908838
5.4800000000;-0.4995908838
5.4900000000;-0.4995908838
5.5000000000;-0.5174204860
5.5100000000;-0.4995908838
5.5200000000;-0.4995908838
5.5300000000;-0.4995908838
5.5400000000;-0.4995908838
5.5500000000;-0.4995908838
5.5600000000;-0.4995908838
5.5700000000;-0.4995908838
5.5800000000;-0.4995908838
5.5900000000;-0.4995908838
5.6000000000;-0.4995908838
5.6100000000;-0.4995908838
5.6200000000;-0.5174204860
5.6300000000;-0.5174204860
5.6400000000;-0.5174204860
5.6500000000;-0.5174204860
5.6600000000;-0.5174204860
5.6700000000;-0.5174204860
5.6800000000;-0.5174204860
5.6900000000;-0.5174204860
5.7000000000;-0.5174204860
5.7100000000;-0.5174204860
5.7200000000;-0.5174204860
5.7300000000;-0.5174204860
5.7400000000;-0.5174204860
5.7500000000;-0.5174204860
5.7600000000;-0.4995908838
5.7700000000;-0.4995908838
5.7800000000;-0.4995908838
5.7900000000;-0.4995908838
5.8000000000;-0.4995908838
5.8100000000;-0.4995908838
5.8200000000;-0.4995908838
5.8300000000;-0.4817612816
5.8400000000;-0.4995908838
5.8500000000;-0.4995908838
5.8600000000;-0.4995908838
5.8700000000;-0.4995908838
5.8800000000;-0.4995908838
5.8900000000;-0.4995908838
5.9000000000;-0.4995908838
5.9100000000;-0.4817612816
5.9200000000;-0.4817612816
5.9300000000;-0.4995908838
5.9400000000;-0.4995908838
5.9500000000;-0.4995908838
5.9600000000;-0.4817612816
5.9700000000;-0.4817612816
5.9800000000;-0.4995908838
5.9900000000;-0.4817612816
6.0000000000;-0.4995908838
6.0100000000;-0.4995908838
6.0200000000;-0.4995908838
6.0300000000;-0.4995908838
6.0400000000;-0.4995908838
6.0500000000;-0.4995908838
6.0600000000;-0.4995908838
6.0700000000;-0.4995908838
6.0800000000;-0.4995908838
6.0900000000;-0.4995908838
6.1000000000;-0.4995908838
6.1100000000;-0.5174204860
6.1200000000;-0.4995908838
6.1300000000;-0.5174204860
6.1400000000;-0.5174204860
6.1500000000;-0.5174204860
6.1600000000;-0.4995908838
6.1700000000;-0.5174204860
6.1800000000;-0.5174204860
6.1900000000;-0.5174204860
6.2000000000;-0.5174204860
6.2100000000;-0.4995908838
6.2200000000;-0.5174204860
6.2300000000;-0.4995908838
6.2400000000;-0.4995908838
6.2500000000;-0.4995908838
6.2600000000;-0.4995908838
6.2700000000;-0.5174204860
